num_ech;nom_ech
56N916507;La Croix de la Lande
56N916508;Pont Malgoin
56N916509;Bonnervo
56N916510;St Léonard
56N916511;Liziec
56N916512;Ménimur
56N916513;Le Fourchêne
56N916514;Luscanen
56N916515;Ploeren
56N916516;Plougoumelen
56N916517;Kerfontaine
56N916518;Poulben
56N916519;Kerbois
56N916520;Brégouharn
56N916521;Poulvern
56N916522;Mané-Gouélo
56N916523;Mané-Krapign
56N916524;Boul Sapin
56N916525;Le Pré aux étangs
56N916526;Locoyarn
56N916527;Toul-Douar
56N916528;Lann-Sévelin
56N916529;Kerdual
56N916530;Mourillon
56N916531;Pen-Mané
56N916601;Tréalvé
56N916602;Kerboulard
56N916603;Lamboux
56N916604;Le Guého
56N916605;Kerchou
56N916606;La Croix Rouge
56N916607;Bel-Orient
56N916608;Le Gros Chêne
56N916609;Val d'Oust
56N916610;Le Crévy
56N916611;Montertelot-Est
56N916612;Montertelot-Ouest
